name	gkz	pop
 Wolfenb??ttel	3158	118088
 Stuttgart, Kreisfreie Stadt	8111	610675
Mittelsachsen	14522	302942
 Bamberg, Kreisfreie Stadt	9461	69414
 Rendsburg-Eckernf??rde	1058	267269
 Bottrop, Kreisfreie Stadt	5512	112800
Nordsachsen	14730	194532
 Rottweil	8325	137382
 Alb-Donau-Kreis	8425	190132
 Wesermarsch	3461	87525
 Saarbr??cken	10041	320020
 Neustadt an der Weinstra??e, Kreisfreie	7316	52608
 Lindau (Bodensee)	9776	80811
 H??xter	5762	140726
 Dahme-Spreewald	12061	162404
 Region Hannover	3241	1119959
 Herford	5758	243077
Gotha	16067	130780
 Offenbach am Main, Kreisfreie Stadt	6413	118999
 Schwabach, Kreisfreie Stadt	9565	38784
 Saarlouis	10044	195943
Gera, Kreisfreie Stadt	16052	89307
 F??rstenfeldbruck	9179	210999
 Aschaffenburg, Kreisfreie Stadt	9661	68673
 Viersen	5166	296220
 Pinneberg	1056	306869
 W??rzburg	9679	158644
 Rostock, Kreisfreie Stadt	13003	190579
 Kaiserslautern, Kreisfreie Stadt	7312	96817
 Enzkreis	8236	193060
 S??dwestpfalz	7340	93192
 Zweibr??cken, Kreisfreie Stadt	7320	32766
 Schwerin, Kreisfreie Stadt	13004	87577
 Salzgitter, Kreisfreie Stadt	3102	96358
 F??rth	9573	113870
Halle (Saale), Kreisfreie Stadt	15002	213459
 Bad Kreuznach	7133	153618
 Uelzen	3360	91306
 Trier, Kreisfreie Stadt	7211	105035
 Teltow-Fl??ming	12072	164088
 G??ppingen	8117	249396
 Freising	9178	174271
 M??nster, Kreisfreie Stadt	5515	278706
 Brandenburg an der Havel, Kreisfreie St	12051	66580
 Lahn-Dill-Kreis	6532	246200
 Northeim	3155	130771
 Emsland	3454	315544
 Euskirchen	5366	192036
 Pirmasens, Kreisfreie Stadt	7317	38117
 Hagen, Kreisfreie Stadt	5914	177611
 Hochtaunuskreis	6434	226482
Saalfeld-Rudolstadt	16073	107168
 Vulkaneifel	7233	59268
 Freiburg im Breisgau, Kreisfreie Stadt	8311	231616
 Duisburg, Kreisfreie Stadt	5112	470213
 D??sseldorf, Kreisfreie Stadt	5111	594865
 Oldenburg (Oldenburg), Kreisfreie Stadt	3403	163468
 Ulm, Kreisfreie Stadt	8421	124618
Leipzig	14729	257091
 Miltenberg	9676	125682
 Wiesbaden, Kreisfreie Stadt	6414	282132
 Dachau	9174	144485
Unstrut-Hainich-Kreis	16064	102141
 Tuttlingen	8327	134197
 Osnabr??ck	3459	361042
 F??rth, Kreisfreie Stadt	9563	116245
 Mainz, Kreisfreie Stadt	7315	202951
 Weilheim-Schongau	9190	132733
 Berlin, Kreisfreie Stadt	11000	3457497
 Stade	3359	197936
 Koblenz, Kreisfreie Stadt	7111	104402
 N??rnberger Land	9574	164255
 Grafschaft Bentheim	3456	137146
 Main-Tauber-Kreis	8128	129627
 Neum??nster, Kreisfreie Stadt	1004	74278
 Spree-Nei??e	12071	116016
 Bochum, Kreisfreie Stadt	5911	362648
 Oldenburg	3458	128063
 Schweinfurt, Kreisfreie Stadt	9662	51435
 M??rkisch-Oderland	12064	190436
 Ha??berge	9674	82822
Dessau-Ro??lau, Kreisfreie Stadt	15001	78052
 Remscheid, Kreisfreie Stadt	5120	104598
Vogtlandkreis	14523	227056
 Fulda	6631	212372
 Dingolfing-Landau	9279	90155
 Schleswig-Flensburg	1059	196661
 Bad T??lz-Wolfratshausen	9173	124071
Ilm-Kreis	16070	105817
 Heidenheim	8135	126248
 Westerwaldkreis	7143	195253
 Rhein-Sieg-Kreis	5382	607939
 Werra-Mei??ner-Kreis	6636	97067
Stendal	15090	111759
 Limburg-Weilburg	6533	167049
 Holzminden	3255	68227
 Soest	5974	297709
 L??chow-Dannenberg	3354	47656
 Solingen, Kreisfreie Stadt	5122	155844
 Reutlingen	8415	280242
 Cloppenburg	3453	159357
 Pl??n	1057	134368
 Rheinisch-Bergischer Kreis	5378	272053
 Kitzingen	9675	87989
 Esslingen	8116	520154
 Wei??enburg-Gunzenhausen	9577	89898
 Regen	9276	76010
 Mecklenburg-Strelitz	13055	72325
 Mettmann	5158	480357
 Bayreuth	9472	102808
 Hof	9475	93544
 Marburg-Biedenkopf	6534	244219
 Heinsberg	5370	255605
 Potsdam-Mittelmark	12069	212127
 Kusel	7336	68668
 Merzig-Wadern	10042	102963
 Memmingen, Kreisfreie Stadt	9764	40691
 Sigmaringen	8437	128156
 Altenkirchen (Westerwald)	7132	127919
 Kempten (Allg??u), Kreisfreie Stadt	9763	61665
 Augsburg	9772	239936
 Calw	8235	156134
 Cuxhaven	3352	194775
Wittenberg	15091	124601
 N??rnberg, Kreisfreie Stadt	9564	510583
Erzgebirgskreis	14521	339928
 Paderborn	5774	299965
Saalekreis	15088	186123
 Osnabr??ck, Kreisfreie Stadt	3404	160879
 Schaumburg	3257	156500
 Main-Kinzig-Kreis	6435	405457
 Osterholz	3356	111796
 Eifelkreis Bitburg-Pr??m	7232	92435
Mei??en	14627	240932
 Zollernalbkreis	8417	184632
Eichsfeld	16061	99146
 D??ren	5358	266559
 Rems-Murr-Kreis	8119	416606
Hildburghausen	16069	63048
 Havelland	12063	159739
 Ennepe-Ruhr-Kreis	5954	316868
 Rottal-Inn	9277	117648
 Bernkastel-Wittlich	7231	108773
Eisenach, Kreisfreie Stadt	16056	40930
 Berchtesgadener Land	9172	102239
 Waldshut	8337	164834
Altmarkkreis Salzwedel	15081	83109
 Tirschenreuth	9377	70968
 Wismar, Kreisfreie Stadt	13006	41608
 Bonn, Kreisfreie Stadt	5314	327528
 Parchim	13060	89596
 Hamm, Kreisfreie Stadt	5915	178226
 Flensburg, Kreisfreie Stadt	1001	88533
 Saarpfalz-Kreis	10045	141560
 Deggendorf	9271	116594
 Garmisch-Partenkirchen	9180	86104
 Offenbach	6438	336936
 Passau, Kreisfreie Stadt	9262	50236
 Ansbach, Kreisfreie Stadt	9561	39687
 Ostholstein	1055	201936
 Rhein-Pfalz-Kreis	7338	148324
 Pfaffenhofen a.d.Ilm	9186	120463
 Cham	9372	124836
 Soltau-Fallingbostel	3358	137817
Kyffh??userkreis	16065	74303
 Rhein-Kreis Neuss	5162	435927
 Heidelberg, Kreisfreie Stadt	8221	149298
 Recklinghausen	5562	601328
 Kassel	6633	228062
 L??beck, Kreisfreie Stadt	1003	205915
 Lichtenfels	9478	65261
 Forchheim	9474	112512
 Wilhelmshaven, Kreisfreie Stadt	3405	76626
 Darmstadt Kreisfreie Stadt	6411	144534
 Neuburg-Schrobenhausen	9185	92738
 Rh??n-Grabfeld	9673	78199
 Unna	5978	406402
 Weiden i.d.OPf., Kreisfreie Stadt	9363	40630
 Borken	5554	372625
Anhalt-Bitterfeld	15082	159221
 Elbe-Elster	12062	100792
 Braunschweig, Kreisfreie Stadt	3101	244069
 M??rkischer Kreis	5962	409367
 Landshut, Kreisfreie Stadt	9261	64517
 Prignitz	12070	73925
 Regensburg	9375	186857
 Rosenheim	9187	255671
 G??ttingen	3152	251204
 Kelheim	9273	114415
 Breisgau-Hochschwarzwald	8315	255998
 Straubing-Bogen	9278	97135
 Segeberg	1060	263857
 Mannheim, Kreisfreie Stadt	8222	312843
 L??neburg	3355	181759
 Neunkirchen	10043	130311
 S??dliche Weinstra??e	7337	107780
Wartburgkreis	16063	121851
 Bad D??rkheim	7332	131596
 Schwarzwald-Baar-Kreis	8326	203066
